index,text,answer
91,"발급된 가상계좌번호는 어디서 확인할 수 있나요?",61
92,"실시간계좌이체가 가능한 계좌는 어떤게 있나요?",62
93,"실시간계좌이체 시에 공인인증서가 꼭 필요한가요?",63
94,"실시간계좌이체 은행 별 가능시간은 어떻게 되나요?",64
95,"법인계좌로도 실시간계좌이체를 이용할 수 있나요?",65
96,"CJ ONE POINT가 무엇인가요?",66
97,"CJ ONE POINT는 CJ계열사에서 다 사용할 수 있나요?",67
98,"적립한 ONE POINT는 언제까지 사용이 가능한가요?",68
99,"사용한 쿠폰이나 ONE POINT는 취소나 반품 시 돌려받을 수 있나요?",69
100,"주문한 상품은 언제 배송되나요?",70
101,"원하는 날짜에 배송이 가능한가요?",71
102,"배송비는 얼마인가요?",72
103,"주문하는 금액이 2만원이 넘는데 배송비가 나오네요",73
104,"배송지를 변경할 수 있나요?",74
105,"배송현황은 어디서 볼 수 있나요?",75
106,"한번 주문에 배송지를 여러 곳으로 할 수 있나요?",76
107,"해외로도 배송이 가능한가요?",77
108,"온라인몰에서 주문한 상품을 매장에서 수령할 수는 없나요?",78
109,"택배사는 어디인가요?",79
110,"교환 신청은 어떻게 해야 하나요?",80
111,"교환은 언제까지 가능한가요",81
112,"교환 철회는 언제까지 가능한가요?",82
113,"교환 시 교환비용을 내야 하나요?",83
114,"교환은 어떻게 진행되나요?",84
115,"교환 신청 시 처음 배송지 말고 다른 곳으로 배송 받을 수 있나요?",85
116,"교환 상품 배송현황은 어디서 볼 수 있나요?",86
117,"반품 신청은 어떻게 해야하나요?",87
118,"반품은 언제까지 가능한가요?",88
119,"반품 철회는 언제까지 가능한가요?",89
120,"반품할 때 비용이 드나요?",90
121,"반품 배송비는 어떻게 결제하나요?",91
122,"반품할 상품을 직접 보내도 되나요?",92
123,"상품을 반품했는데 환불은 언제 되나요?",93
124,"상품을 반품했는데 카드대금이 청구됐어요",94
125,"결제 때와 다른 수단으로 환불 받을 수 있나요?",95
126,"당첨자 추첨은 어떻게 진행되나요?",96
127,"개인정보 위수탁 동의는 무엇인가요?",97
128,"기준에 맞게 구매했는데 사은품이 배송되지 않았어요.",98
129,"온라인몰에서도 선물포장이 가능한가요?",99
130,"올리브영 종이봉투도 함께 보내주실 수 있나요?",100
131,"휴대폰 결제 후 취소 시 환불은 언제 되나요?",101
132,"ONE POINT 적립이 안됐어요",102
133,"환불계좌 등록 및 변경은 어떻게 하나요?",103
134,"이벤트 참여 방법은 어디에서 볼 수 있나요?",104
135,"당첨자 확인은 어디서 하나요?",105
136,"[매장] 제휴카드 할인과 쿠폰은 동시에 적용되나요?",106
137,"[매장] 모바일상품권(쿠투)은 어디서 구매하나요?",107
138,"[매장] 쿠폰 사용 후 취소하면 다시 재사용이 가능한가요?",108
139,"[매장] 올리브영 영수증에 '할인쿠폰 회수번호'가 있는데 무엇인가요?",109
140,"[매장] 세일기간에도 쿠투쿠폰으로 결제할 수 있나요?",110
141,"[매장] 동일한 상품인데 가격이 왜 다른가요?",111
142,"[매장] 상품권으로 결제 가능한가요?",112
143,"[매장] 영수증이 없는데 교환/환불이 가능한가요?",113
144,"[매장] 모바일 상품권으로 구매한 상품을 교환 또는 환불하고 싶어요",114
145,"[매장] CJ상품권으로 상품 구매 후 교환 또는 환불하고 싶어요",115
146,"[매장] 구입한 매장을 갈 수 없는데 다른 매장에서 환불 가능한가요?",116
147,"[매장] 교환/환불은 구입일로부터 언제까지 가능한가요?",117
148,"[매장] 사용은 안했는데 케이스는 열었습니다. 교환/환불이 가능한가요?",118
149,"[매장] 선물받은 상품의 교환/환불이 가능한가요?",119
150,"[매장] 구입한 상품을 사용하고 피부트러블이 생겼습니다.",120
151,"[매장] 결제했던 신용카드를 분실했는데 교환/환불이 가능한가요?",121
152,"[매장] 매장에서 CJ상품권을 구매했는데 교환/환불이 가능한가요?",122
153,"올리브영 4D모션 브러쉬, 올리브영 진동클렌져가 작동이 되지 않아요",123
154,"올리브영 창업을 하고 싶습니다. 어디에 문의해야 하나요?",124
155,"올리브영에 상품을 입점하고 싶습니다. 어디에 접수하나요?",125
156,"올리브영에서 구입한 상품(속눈썹 고데기, 드라이기 등)이 고장났어요",126
157,"매장 위치, 연락처, 영업시간 등의 정보는 어디서 확인할 수 있나요?",127
158,"매장 위치, 연락처, 영업시간 등의 정보는 어디서 확인할 수 있나요?",128
159,"주문한 상품은 언제 배송되나요?",129
160,"[매장] 결제했던 신용카드를 분실했는데 교환/환불이 가능한가요?",130
161,"반품은 언제까지 가능한가요?",131
162,"올리브영에 상품을 입점하고 싶습니다. 어디에 접수하나요?",132
163,"사용은 안했는데 케이스는 열었습니다. 교환/환불이 가능한가요?",133
164,"반품할 때 비용이 드나요?",134
165,"택배사는 어디인가요?",135
166,"1+1 상품 주문할때 수량은 1개만 하면 되나요?",136
167,"주문 후에 언제까지 입금해야 하나요?",137
168,"배송비는 얼마인가요?",138
169,"뷰티테스터에 당첨되었는데.. 후기는 어디에서 작성하나요?",139
170,"뷰티테스터에 당첨되었는데.. 후기는 어디에서 작성하나요?",140
171,"크롬에서 BC, 국민카드 결제가 안되요",141
172,"품절된 상품이 언제 입고 되는지 알 수 있나요?",142
173,"증정품이 배송되지 않았어요",143
174,"증정품이 배송되지 않았어요.",144
175,"군부대도 배송이 가능한가요?",145
176,"CJ기프트카드로 구입했는데 취소가 안되요",146
